crn,response,instructor
40399,this class will be very difficult but only compared to other water classes but precisely because of the difficulty the teacher will give a lot of help the only thing you need to do is to keep up with the teacherand seize the time for everything because you will find that this can be a very shining moment in your lifei would give richard a thumbs up,"Hoshino, Richard"
40399,na,"Hoshino, Richard"
40399,cant think of any,"Hoshino, Richard"
40399,richard is knowledgeable passionate and approachable had all the great traits to help us succeed,"Hoshino, Richard"
39706,this professor is irreproachable in this area he is sure to move at a pace that all can follow and does his best to allow all students to participate he also allows for ample question time,"Saad, Nadim"
39706,it would be helpful if the instructor could slow down the pace when explaining the new concepts and use less handwriting on the whiteboard,"Saad, Nadim"
39706,overall he is a friendly and good professor he provides good examples on the whiteboard and is open to student questions if he could provide information in advance that would be helpful,"Saad, Nadim"
39706,na,"Saad, Nadim"
39706,he did a great job already,"Saad, Nadim"
20294,very inclusive in all aspects probably the professor that cares about inclusivity the most so far i have seen,"Guerra Gomez, John Alexis"
20294,he is very friendly but i kind of hope the assignments are not so infrequent but big we pretty much just have 4 massive projects and almost nothing else i hope we had more lightweight projects and lessheavy massive projects instead,"Guerra Gomez, John Alexis"
20294,everything is good,"Guerra Gomez, John Alexis"
20294,loved the attitude i liked coming to class,"Guerra Gomez, John Alexis"
20294,overall well appreciated him mentioning he was learning chinese,"Guerra Gomez, John Alexis"
20294,show more cases related to the web development,"Guerra Gomez, John Alexis"
20294,the professor use the lottry and tweet to encourage student to preview all the material before class to have better overview for the knowledge points,"Guerra Gomez, John Alexis"
20294,na,"Guerra Gomez, John Alexis"
20294,professor john is very supportive some improvements could be that some rubrics may not be very clear to understand when we have the project teamwork does not achieve the goal of learningsomething withing a partner,"Guerra Gomez, John Alexis"
20294,while class was helpful sometimes it felt like the projects had nothing to do with what we had covered so far connecting to mongo and implementing crud was taught after that project was due same withteaching passportexpecting implementation having a more conducive schedule would be helpful to helping with our understanding rather than expecting us to figure it out completely on our own iunderstand that struggling is helpful with teaching but i dont think its fair to expect students to learn how to implement for assignments when the topics were not even properly introduced yet,"Guerra Gomez, John Alexis"
20294,sometimes the class can be quite stressful for introverted individuals like myself,"Guerra Gomez, John Alexis"
20295,the passion for experiential learning is great but this is not experiential learning experiential learning needs more flexibility to adapt to the needs of the students this was instead more of a learn on yourown but with an impossible deadline there wasnt the time available to learn before we moved on to the next topic,"Veliz, Oscar"
17405,everything said above,"Mwaura, Jonathan"
17405,i really enjoyed having dr mwaura as a proffessor,"Mwaura, Jonathan"
17405,nothing more to add than what i have already said,"Mwaura, Jonathan"
17405,na,"Mwaura, Jonathan"
17405,1 i suggest clearer segregation of assignments on canvas particularly for students without zybooks access to avoid confusion2 more transparent grading criteria on gradescope would help students understand the rationale behind deducted points,"Mwaura, Jonathan"
17388,this is the first time i felt a course is a waste of my time and money i learned almost nothing from this professor or this course the professors interaction with students is minimal impacting the learningexperience and he makes everything very difficult for students ta office hour is not clear on teams regrading need to send a report that even takes more time than the homework itself the syllabusdoesnt match the course material too much to list please check all his wired setting for the class the course materials particularly the videos and slides are bad they primarily consist of reading offslides which is not effective for deep learning especially in an algorithm class where critical thinking and detailed explanations are crucial i am very disappointed,"Kennedy, Justin"
17388,online engagement through teams was decent,"Kennedy, Justin"
17388,1 make your own module videos2 provide actual feedback to students and answer their questions,"Kennedy, Justin"
17388,there is a lot of opportunity for the live professor to add value to the course,"Kennedy, Justin"
17388,the instructor did a good job on wellorganized teaching materials it would be better if more details about the application examples are given,"Kennedy, Justin"
17388,na,"Kennedy, Justin"
17388,i guess professor kennedys strength could show up once he found relaxed with small group of people without dumb questions there is no chances for him creating an inclusive learning at this scale he isnot capable of this but on small groups maybe there could be a chance,"Kennedy, Justin"
20450,the lecture is very clear,"Rad, Ryan"
20450,good,"Rad, Ryan"
35075,a true teacher,"Mwaura, Jonathan"
35075,the learning was inclusive prof did a great job including the students who phoned in each week this material is just hard,"Mwaura, Jonathan"
35075,give more practical questions like solving questions and then uploading source code for assignments there are only 10 of questions are leet code practical questions others are theory questions givefeedback for a final project proposal i never received feedback for my final project proposal even though i requested to review my project but the professor ignored my messages,"Mwaura, Jonathan"
35075,more focus on dynamic programming in class,"Mwaura, Jonathan"
31575,how is this class in the ai concentration for cs we did one ai homework and it wasnt even remotely challenging,"Amor-Tijani, Ghita"
31575,the instructor is very kind was fairly flexible with deadlines and clearly cares about student success and wellbeing,"Amor-Tijani, Ghita"
15376,prof sheshs ability to teach is his biggest skill which makes him an effective instructor the only area of improvement like mentioned earlier is more availability to his students i know he is the dean of cswhich could make this more challenging,"Shesh, Amit"
15376,get better tas who are able to grade more consistently,"Shesh, Amit"
15376,prof shesh knows how to capture students attention and is very eloquent i am impressed and admire his way of teaching his comments and answers are very interesting and can be interpreteddifferently depending on the student,"Shesh, Amit"
15376,the instructor is knowledgeable and has the teaching skills required however it could have been better if the instructor could actually cover the content required for the assignment before the deadline ofthe assignment,"Shesh, Amit"
40203,quizzes are given every week without any guidance on what they will be on not everyone learns well in this manner i for one struggle with quizzes as someone with attention issues it is hard for me to retaininformation unless i study specific points without knowing what to study i am at a huge disadvantage in this class,"Veliz, Oscar"
40203,quizzes dont need to be there for every class some classes dont cover a lot and quizzes are then on concepts either too trivial or not too much of,"Veliz, Oscar"
40203,no additional comments,"Veliz, Oscar"
40203,i personally does not like the chess assignment overall as an introduction to ai class the chess assignment does not seem to be intro level overall the beat random bot requirement needs lots of learningoutside class and does not seem to be related to the class topics i feel there is a gap between lectures and assignments,"Veliz, Oscar"
40203,professor oscar is very accommodating in facilitating inclusive learning,"Veliz, Oscar"
17367,the tas are not very responsible especially about their office hours they regularly dont show up on their office hours with or without prior notice furthermore there are too many office hours cancellationeven with the prior notification which frustrates students who need help for the class also some tas just easily say they dont know about the problem and ask us to ask other tas which is not veryprofessional as ta they must be more responsible and help their students especially when they encounter some problems they dont know they need to contact professor and get some solutions andcontact the student back not just saying they dont know other than some unprofessional tas this course was very well organized and helpful to learn web development,"Annunziato, Jose"
17367,make the homework more reasonable so we dont need to waste time on doing repeat work,"Annunziato, Jose"
17367,na,"Annunziato, Jose"
17367,what in tarnation is inclusive learning,"Annunziato, Jose"
17367,i greatly appreciated the detailed instructions for both labs and homework probably to make it more inclusive i would personally decreasecut the number of homework requirements,"Annunziato, Jose"
17367,a lot of tas dont show up on their working hours at all it should be regulated that if they dont come please send out a message beforehand on canvas stop wasting lots of students time by ghosting in theoffice hours,"Annunziato, Jose"
17367,strengthen the training of teaching assistants the points they give are unreasonable,"Annunziato, Jose"
17367,recommend some better projects for us to study,"Annunziato, Jose"
17367,all good,"Annunziato, Jose"
17367,great teaching,"Annunziato, Jose"
17367,the professor always listens to and incorporates our feedback into his teaching which is helpful this includes posting his code onto github so we can use it as a template and simplifying assignments to taketime to comprehend concepts also the class is structured in a way that you understand how the topics build off of each other and flow together,"Annunziato, Jose"
17367,i hope professor could give more guidance for deploy issue,"Annunziato, Jose"
17367,none,"Annunziato, Jose"
17367,good,"Annunziato, Jose"
17401, all positive for professor mwaura on inclusive learning,"Mwaura, Jonathan"
17401,professor mwaura really strives to include everyone id say its just an overall strength of his on the other hand sometimes wed stall class for a little to go over a topic if some folks didnt get it it would benice if some of that work could happen outside of class,"Mwaura, Jonathan"
17401,good,"Mwaura, Jonathan"
17401,was really good with this,"Mwaura, Jonathan"
17401,he is an enthusiastic instructor but sometimes he can stretch out a specific topic for too many classes,"Mwaura, Jonathan"
17401,the class itself was very enjoyable despite the difficulty of the material this is all thanks to dr mwaura,"Mwaura, Jonathan"
17401,i imagine its easier to get a good grade in this class than in other professors because its all openbook and basically untimed and the grade is more based on putting in the time than actually mastering thematerial but if you want to really learn from your professor instead of learning from books on the side dont take this class,"Mwaura, Jonathan"
17401,the professor always came very prepared for class sessions its very easy to feel the energy and passion he has and how much work he puts into preparing for lectures he knows how to slowdown whenstudents have hiccups with certain concepts and is always ready to give more elaborate explanations he is also readily available to chat after classes and during office hours about concerns anddifficulties,"Mwaura, Jonathan"
17401,i was satisfied with this course but i suggest that the workload of the class and the number of challenging problems might be reducedanother option could be to give challenging ungraded problems that we work through in the class for example you make as much progress on it as you can in the homework then review it in class that wasan approach that we took in some of my physics and math courses in college,"Mwaura, Jonathan"
13666,i think that adding in ways to force people to read the book would be good also to make it clear early on in the course that this course definitely has prerequisites in practice even if it doesnt in registration,"Tsekourakis, Iraklis"
13666,very knowledgeable and good at teaching however some of the complex concepts needs a little more explanation as sometimes hes a bit quick paced,"Tsekourakis, Iraklis"
13666,i think he is very good at giving more context to the things we learn on class like dfs and bfs applications on graphs and stuff i think it is more engaging when i know what i can do with what he teach i learneda lot from the class even though i might get a terrible grade but i learned,"Tsekourakis, Iraklis"
13666,integrate a richer variety of engaging teaching resources including animations illustrative images and videos to enhance the learning experience,"Tsekourakis, Iraklis"
13666,has clear concept and have the full understanding of the course materials he can understand what student wants to communicate easily keeps the class interactive so student doesnt feel a one waylearning,"Tsekourakis, Iraklis"
15377,he help to facilitate a better learning environment when he firmly ensured that we raised our hands when he asked questions in class during the first lectures tryhard students would shout out answersbefore anyone else had a chance to process the question or have the time to come up with an answer especially as a student without a cs background this was incredibly intimidating the professor didwell on shutting that down,"Behnezhad, Soheil"
15377,he records his classes and they are available all the time for us to revisit,"Behnezhad, Soheil"
15377,better explanation,"Behnezhad, Soheil"
15377,professor know well of the course material class is engaging and fun,"Behnezhad, Soheil"
15377,he and his teaching assistants will be very patient and helpful if you dont know how to do it please ask and let them know they will be very patient and enthusiastic to help you,"Behnezhad, Soheil"
15377,i think the instructor needs to provide better materials especially for exams he gave the practice for the final much sooner than the midterm so he does seem to listen to feedback,"Behnezhad, Soheil"
15377,v easy to understand his teaching v easy to approach him with doubts and questions,"Behnezhad, Soheil"
15377,i think soheil did a great job facilitating inclusive learning there are no suggestions i have for this aspect of his course,"Behnezhad, Soheil"
15377,teaching clearly is his biggest strength,"Behnezhad, Soheil"
15377,i had hard time trying to understand the concept of the topic most of the time,"Behnezhad, Soheil"
15377,i think the instructor made an effort to answer any questions the students had in class,"Behnezhad, Soheil"
15377,enthusiastic,"Behnezhad, Soheil"
15377,there seemed to be a difference in the expectation of answers for homework assignments this was evident when comparing the expectation that was set when assignment was released against thesolution key released after the deadlineif we can bridge the gap in terms of reducing the expectations on student answers to be at the level of the answer key that can save me some time being spent on assignments,"Behnezhad, Soheil"
15377,please make the teaching more better,"Behnezhad, Soheil"
15377,work on more problem solving sessions difficulty level of problems solved in class and given in exams was not the same,"Behnezhad, Soheil"
15377,i think prof behnezhad did a good job of explaining the material but i wish the pacing of the course was a little faster in the first half as it felt rushed to get in all the material as we approached the midtermwhich in term made it difficult to prepare,"Behnezhad, Soheil"
15377,be more prepared you were lost couple of times loved examples and level of questions please keep goingadd a project application is required to understand conecpt,"Behnezhad, Soheil"
15377,all good,"Behnezhad, Soheil"
15377,instructor is patient and helpful,"Behnezhad, Soheil"
15377,prof is really good a graphs and explaining the concepts,"Behnezhad, Soheil"
15377,i dont know about inclusive i guess just make sure that students who require more time on quizzes get the time allotted but other than that good stuff,"Behnezhad, Soheil"
15377,the instructor is absolutely fantastic,"Behnezhad, Soheil"
15377,hwk 2 was so close to the midterm and i didnt have enough time to revisit previous topics neither check if my answers were on the right track,"Behnezhad, Soheil"
15377,na see prior answers,"Behnezhad, Soheil"
15377,give more time on exams or change to online exam instead of writing code with hand,"Behnezhad, Soheil"
15377,he is a passionate instructor he can explain the material well and the test is well aligned with the class material,"Behnezhad, Soheil"
15377,is very good,"Behnezhad, Soheil"
15377,the lectures and notes are all really good whenever i needed to remember the specifics of a lecture i could always go back through the notes to write something down i had forgotten,"Behnezhad, Soheil"
15377,i think the coursework was really well organized and i felt that i was able to follow along pretty easily if there was something that i missed or if i couldnt make it to class i could easily figure out what to dothe assignments and tests were fair and grading was rather quick so you could get feedback quickly and figure out which areas to improvethe lectures sometimes felt a little disorganized andor the pace was too fast to follow along this could be because of how i prefer to learn but i think more examples of algorithms applied in real life andorpictorial demonstrations of how these algorithms would work andor just slowing down and really explaining each step and why we are doing them when introducing a new algorithm would be really helpful infollowing along,"Behnezhad, Soheil"
15377,soheil is a really nice guy and a good instructor i found him to be very passionate about the material and he was always very good about answering questions both in class and online,"Behnezhad, Soheil"
15377,he went through the algorithms but didnt formally prove them in class so it was tough to try to formally prove algorithms on the homework when we didnt get much instruction on how to make formalproofs,"Behnezhad, Soheil"
15377,the instructor has the clarity about the topics he covered in the class he explanation of difficult concepts are great signifying his good grasp on the course materials the instructor encouraged classroomdiscussions providing students a platform to think and come up with ideas to tackle problems at hand,"Behnezhad, Soheil"
15377,na,"Behnezhad, Soheil"
15377,takes students feedbacks and acts on it promptly,"Behnezhad, Soheil"
15377,na,"Behnezhad, Soheil"
15377,his patience kind friendly and solidness of knowledge i only hope that there could be a little more review sessions and code sessions,"Behnezhad, Soheil"
15377,if it is possible take some time after each class to discuss about materials,"Behnezhad, Soheil"
15377,i have no idea at the moment,"Behnezhad, Soheil"
15377,soheil is obviously very passionate about this subject and that is reflected in his teaching i got the feeling that he wasnt just reading us notes off slides but rather that he really wanted us to understand thetopics i think sometimes he would move a little quickly through things and students do not always feel comfortable asking questions in larger classes so sometimes they would fall behind but overall soheilwas a great professor,"Behnezhad, Soheil"
15377,the professor ensured clear and inclusive communication which enhanced the learning process,"Behnezhad, Soheil"
15377,professor soheil did great in this area i hope i can take his other classes before i graduate,"Behnezhad, Soheil"
15377,the course is very hard for an align student if the professor could provide more basic knowledge for them it would be excellent,"Behnezhad, Soheil"
15377,i think the teacher is very detailed and also gives bonus questions during the exam which i think are good considering the different basics of the students,"Behnezhad, Soheil"
15377,just make it harder,"Behnezhad, Soheil"
15377,the professor used only very outdated teaching policies and methods to teach the course which are known proven through many research studies and practice to be highly ineffective especially forrigorous mathematicallogical instruction the instructor was obviously unprepared for instruction in the method he chose which was also a poor outdated method he needs to read these researcharticles to learn how to teach and the effective methods for teaching as well as talk with the other instructors at khoury who already know these things and can help him understand i suggest removing himfrom the instruction of a required course and have him teach only electives while he builds his skills and preparedness for this course i would ask for my money back if i could for this poor quality ofinstructionthis course if taught this way should not be a mandatory class and should be an elective it lacked a focus on making the students better professionals which is an overall focus of the rest of the degree itwas misaligned with the degree objectives it verged on uninclusiveness with outdated policies and procedures which are harmful for neurodivergent identified or not people minorities and typicallyunderrepresented peoplethe professor made completing this trace evaluation part of timed quiz without telling us in advance that it was part of this particular quiz and it having other questions i was given less than 30 minutesto fill out this evaluation after answering the other technical questions of the quiz i typically spend at least an hour on trace evals so please keep in mind i have more to say and would have edited for clarityif i was allowed to complete this on my own time,"Behnezhad, Soheil"
15377,the homework is difficult and need extra self learning it can include more coding exercise and less algoritm proof,"Behnezhad, Soheil"
15377,na,"Behnezhad, Soheil"
15377,inclusiveness seemed fine,"Behnezhad, Soheil"
15377,i understand it is his first semester teaching so there are challenges that come with that and i can empathize with the difficulties of doing so however i am still paying a lot of money for a course and do notwant to be a guinea pig for a professor to sort things out i think the university should put more effort into monitoring and providing guidance and resources to new professors so it can be a positiveexperience for both the students and professor changes were made over the course of the semester which made the overall experience a bit better but it is incredibly frustrating when it took the first halfof the course to sort things out,"Behnezhad, Soheil"
21011,he is very nice and kind and he records every class so u can watch these records many times until u fully understand,"Penarrieta, Cristian"
35058,every one should take a class from prof aloupis hes an excellent teacher this was one of the hardest classes ive taken and im not going to get a great grade in it but it was definitely the most worthwhileive taken at northeastern i learned so much that will benefit me throughout my career and i will retain it because we were taught how to understand the material rather than just memorize it,"Aloupis, Gregory"
35058,great powerpoint summary and course notes,"Aloupis, Gregory"
35058,grading scale was confusing,"Aloupis, Gregory"
35058,all lectures should be recorded over a powerpoint like his new videos are done and he should replace the videos from many years ago exams should be much less unfairly challenging,"Aloupis, Gregory"
37459,im not really sure what this means in this context,"Venkatesaramani, Rajagopal"
37459,in class teaching and presentation,"Venkatesaramani, Rajagopal"
37459,professor take his class seriously wellprepared and answer students questions well,"Venkatesaramani, Rajagopal"
37459,he understand students and how to effectively communicate with them,"Venkatesaramani, Rajagopal"
37459,spend more time explaining difficult aspects in the course reduce random discussion time in class and focus the discussion within the incomprehensible knowledge aspects,"Venkatesaramani, Rajagopal"
37459,he was always willing to listen and talk to everyones ideas and was very inclusive to all answers,"Venkatesaramani, Rajagopal"
37459,i firmly believe that in two years taking this class with raj is going to be the best way to go its clear that hes newer to teaching this course and courses i general but he clearly cares a ton and is a goodlecturer so when it all comes together into a finished product it will be great its just a matter of when,"Venkatesaramani, Rajagopal"
37459,the instructors punctuality and organized course outline contributed positively to inclusivity however to enhance inclusivity further the instructor could incorporate more interactive elements toaccommodate diverse learning preferences and ensure all students feel engaged and valued in the learning process,"Venkatesaramani, Rajagopal"
37459,i think that the professor already does everything necessary regarding inclusive learning he is easily reachable online and he responds very quickly he is transparent about how and why he teaches theway he does and he readily answers questions and fosters an open environment in which to ask questions even just to repeat something he already said,"Venkatesaramani, Rajagopal"
37459,i really enjoyed how the professor made the class and the topics interesting and engaging always excited to learn new things this wayadd prerecord lecture sections that have examples available on canvas there are already youtube videos that explain similarly but it helps if professors can relate them to other topics from classadd calculations and formula work into slides rather than board similar yet different formulas writing them out seemed repetitive at times and confusing took a lot of class time,"Venkatesaramani, Rajagopal"
40214,great class with useful class content,"Sun, Zhifeng"
40214,improve recording,"Sun, Zhifeng"
40214,the instructor is doing fine for this class,"Sun, Zhifeng"
17364,could improve the autograder for assignment works so that students get right feedback and learning from assignments as well,"Mwaura, Jonathan"
17364,nothing yet,"Mwaura, Jonathan"
17364,the class environment felt extremely inclusive,"Mwaura, Jonathan"
17364,i felt at times in class i would ask a question and not really get an answer back that i was able to understand,"Mwaura, Jonathan"
17364,material,"Mwaura, Jonathan"
17600,this is my second course with professor hamandi her teaching is the best i have come across her lectures are structured very well she does in great job in ensuring that all students are following alongshe dissects complex topics and explains them very well to first time users i would 100 take all her courses if given the chance,"Hamandi, Lama"
17600,she is organized keeps the course engaging communicative friendly,"Hamandi, Lama"
17600,the workload is a little big,"Hamandi, Lama"
17600,very inclusive,"Hamandi, Lama"
17600,all good,"Hamandi, Lama"
